beds,baths,size_m2,rent_thb,built_year,subdistrict,district,province
1,1.0,40.0,28000,,Din Daeng,Din Daeng,Bangkok
1,1.0,30.47,15000,,Suan Luang,Suan Luang,Bangkok
1,1.0,29.5,20000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,36.0,15500,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,31.5,22000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,31.0,14700,,Hua Mak,Bang Kapi,Bangkok
1,1.0,45.0,23000,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,50.0,13000,,Bang Na,Bang Na,Bangkok
1,1.0,31.5,15000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,50.0,38000,,Thanon Phet Buri,Ratchathewi,Bangkok
1,1.0,22.0,10000,,Suan Luang,Suan Luang,Bangkok
1,1.0,44.0,18000,,Si Lom,Bang Rak,Bangkok
1,1.0,66.0,27000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,31.0,12000,,Bang Na,Bang Na,Bangkok
1,1.0,44.0,30000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,30.0,19000,,Makkasan,Ratchathewi,Bangkok
1,1.0,30.0,11000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,28.0,7500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,26.6,16000,,Suan Luang,Suan Luang,Bangkok
,1.0,24.0,8000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,24.0,13000,,Suan Luang,Suan Luang,Bangkok
1,1.0,30.0,27000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,32.0,23000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,32.0,14000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,27.0,12000,,Hua Mak,Bang Kapi,Bangkok
,1.0,25.0,11000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,35.0,12000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,25.0,20000,,Thung Mahamek,Sathon,Bangkok
1,1.0,26.9,14000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,45.0,48000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,25.0,13500,,Bang Na,Bang Na,Bangkok
1,1.0,46.0,25000,,Sam Sen Nok,Huai Khwang,Bangkok
2,1.0,41.0,28000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,65.0,12000,,Suan Luang,Suan Luang,Bangkok
1,1.0,38.0,17000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,34.0,14000,,Bang Na,Bang Na,Bangkok
1,1.0,36.0,15000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,36.02,32000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,50.0,28000,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,46.0,20000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,48.75,24500,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,31.0,9500,,Bang Na,Bang Na,Bangkok
1,1.0,38.0,15000,,Suan Luang,Suan Luang,Bangkok
1,1.0,25.0,10000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,27.0,9700,,Bang Na,Bang Na,Bangkok
1,1.0,36.0,15000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,41.5,25000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,28.0,7500,,Bang Na,Bang Na,Bangkok
1,1.0,28.0,10000,,Phra Khanong Nuea,Vadhana,Bangkok
,1.0,24.5,20000,,Lumphini,Pathum Wan,Bangkok
1,1.0,32.0,22900,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,25.0,10500,,Bang Na,Bang Na,Bangkok
2,1.0,47.0,28000,,Bang Chak,Phra Khanong,Bangkok
,1.0,26.0,15000,,Makkasan,Ratchathewi,Bangkok
,1.0,22.0,6800,,Suan Luang,Suan Luang,Bangkok
1,1.0,34.0,17000,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,54.52,23000,,Huai Khwang,Huai Khwang,Bangkok
,1.0,26.0,15000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,32.0,12000,,Bang Kapi,Huai Khwang,Bangkok
,1.0,35.0,18900,,Bang Kapi,Huai Khwang,Bangkok
,1.0,25.0,16700,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,39.0,19000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,27.0,7500,,Bang Na,Bang Na,Bangkok
1,1.0,28.0,9500,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,30.0,9500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,23.0,9000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,40.0,15000,,Huai Khwang,Huai Khwang,Bangkok
,1.0,30.0,25000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,35.0,27500,,Din Daeng,Din Daeng,Bangkok
1,1.0,54.0,35000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,35.5,25000,,Makkasan,Ratchathewi,Bangkok
1,1.0,45.06,35000,,Lumphini,Pathum Wan,Bangkok
1,1.0,39.0,25000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,35.0,28000,,Makkasan,Ratchathewi,Bangkok
1,1.0,28.0,8500,,Bang Chak,Phra Khanong,Bangkok
,1.0,30.0,14000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,38.41,17000,,Yan Nawa,Sathon,Bangkok
1,1.0,24.5,12000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,75.0,22000,,Khlong Tan Nuea,Vadhana,Bangkok
,1.0,27.0,10500,,Bang Na,Bang Na,Bangkok
1,1.0,39.29,32000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,68.0,30000,,Si Lom,Bang Rak,Bangkok
1,1.0,34.0,23000,,Si Lom,Bang Rak,Bangkok
1,1.0,28.18,18000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,32.0,28000,,Si Phraya,Bang Rak,Bangkok
1,1.0,40.0,17000,,Huai Khwang,Huai Khwang,Bangkok
2,1.0,47.0,22500,,Bang Na,Bang Na,Bangkok
1,1.0,45.0,36000,,Lumphini,Pathum Wan,Bangkok
1,1.0,58.06,28000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,30.0,12000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,33.5,23000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,40.0,35000,,Thung Wat Don,Sathon,Bangkok
1,1.0,55.0,16000,,Bang Kapi,Huai Khwang,Bangkok
2,1.0,54.0,34000,,Bang Na,Bang Na,Bangkok
2,1.0,58.26,12000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,34.72,24000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,70.0,55000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,35.0,13000,,Suan Luang,Suan Luang,Bangkok
,1.0,30.0,9000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,30.0,13000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,38.0,18500,,Khlong Ton Sai,Khlong San,Bangkok
1,1.0,28.0,13000,,Bang Na,Bang Na,Bangkok
,1.0,30.0,20000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,44.55,26000,,Khlong Tan,Khlong Toei,Bangkok
1,2.0,45.0,32000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,35.0,38000,,Thanon Phet Buri,Ratchathewi,Bangkok
1,1.0,31.32,13900,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,29.6,15000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,29.0,15000,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,51.0,22000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,31.0,13000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,37.0,21500,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,25.0,13000,,Bang Na,Bang Na,Bangkok
2,1.0,36.0,16000,,Suan Luang,Suan Luang,Bangkok
1,1.0,32.0,12500,,Yan Nawa,Sathon,Bangkok
1,1.0,45.0,26000,,Makkasan,Ratchathewi,Bangkok
1,1.0,35.0,13500,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,36.12,14000,,Suan Luang,Suan Luang,Bangkok
1,1.0,51.0,35000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,35.0,34000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,35.0,14500,,Suan Luang,Suan Luang,Bangkok
1,1.0,32.0,29000,,Si Phraya,Bang Rak,Bangkok
1,1.0,34.0,17000,,Yan Nawa,Sathon,Bangkok
1,1.0,30.0,15000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,50.0,20000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,28.75,13000,,Suan Luang,Suan Luang,Bangkok
1,1.0,46.0,29000,,Thanon Phet Buri,Ratchathewi,Bangkok
1,1.0,27.8,19000,,Din Daeng,Din Daeng,Bangkok
,1.0,29.0,11000,,Hua Mak,Bang Kapi,Bangkok
,1.0,34.0,8000,,Bang Na,Bang Na,Bangkok
1,1.0,34.19,27000,,Din Daeng,Din Daeng,Bangkok
,1.0,24.0,9000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,60.0,24000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,26.0,6900,,Bang Na,Bang Na,Bangkok
2,1.0,78.85,22000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,36.0,27000,,Makkasan,Ratchathewi,Bangkok
1,1.0,43.45,22000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,40.0,35000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,55.0,55000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,41.41,38000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,41.0,20000,,Bang Na,Bang Na,Bangkok
1,1.0,32.0,32000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,29.0,14000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,50.5,50000,,Suriyawong,Bang Rak,Bangkok
1,1.0,35.0,30000,,Chomphon,Chatuchak,Bangkok
1,1.0,31.0,8500,,Bang Chak,Phra Khanong,Bangkok
,1.0,31.0,8500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,42.0,14700,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,55.0,20000,,Chong Nonsi,Yan Nawa,Bangkok
1,1.0,38.0,30000,,Lumphini,Pathum Wan,Bangkok
1,1.0,28.0,18000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,47.0,16000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,35.69,25000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,47.0,38000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,35.5,18500,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,48.0,28000,,Bang Na,Bang Na,Bangkok
1,1.0,31.42,13000,,Bang Na,Bang Na,Bangkok
1,1.0,50.0,27000,,Makkasan,Ratchathewi,Bangkok
1,2.0,63.0,38000,,Thung Phaya Thai,Ratchathewi,Bangkok
2,1.0,59.8,27000,,Si Lom,Bang Rak,Bangkok
,1.0,32.0,12000,,Phra Khanong,Khlong Toei,Bangkok
,1.0,28.0,6400,,Phra Khanong,Khlong Toei,Bangkok
1,2.0,80.94,55000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,35.87,22000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,31.0,10000,,Sam Sen Nok,Huai Khwang,Bangkok
2,1.0,62.0,25000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,42.0,30000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,31.0,16500,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,25.8,9500,,Suan Luang,Suan Luang,Bangkok
2,1.0,61.0,18000,,Bang Na,Bang Na,Bangkok
2,1.0,70.0,37000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,29.0,7000,,Suan Luang,Suan Luang,Bangkok
1,1.0,34.8,34000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,60.0,11000,,Bang Na,Bang Na,Bangkok
1,1.0,36.0,29000,,Si Phraya,Bang Rak,Bangkok
1,1.0,51.0,30000,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,45.0,19000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,30.0,28000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,47.0,20000,,Huai Khwang,Huai Khwang,Bangkok
,1.0,31.0,18000,,Si Lom,Bang Rak,Bangkok
2,1.0,53.0,25500,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,32.5,14000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,45.0,51999,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,47.0,16000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,46.2,39500,,Khlong Toei Nuea,Vadhana,Bangkok
,1.0,9.0,37000,,Lumphini,Pathum Wan,Bangkok
1,1.0,36.0,30000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,55.0,55000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,33.0,20000,,Phra Khanong Nuea,Vadhana,Bangkok
1,2.0,70.0,32000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,35.5,22000,,Makkasan,Ratchathewi,Bangkok
1,1.0,42.0,28000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,45.0,35000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,37.0,14500,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,50.0,20000,,Si Lom,Bang Rak,Bangkok
1,1.0,48.83,65000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,27.0,21000,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,40.0,27000,,Makkasan,Ratchathewi,Bangkok
1,1.0,32.0,16000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,26.0,17000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,30.5,13000,,Bang Na,Bang Na,Bangkok
1,1.0,64.0,25000,,Lumphini,Pathum Wan,Bangkok
1,1.0,34.37,21000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,28.0,19000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,33.0,17500,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,36.04,18000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,39.19,12000,,Bang Na,Bang Na,Bangkok
1,1.0,39.27,31000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,45.0,47000,,Lumphini,Pathum Wan,Bangkok
1,1.0,37.0,25000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,46.5,53000,,Lumphini,Pathum Wan,Bangkok
1,1.0,49.0,68000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,46.5,56000,,Lumphini,Pathum Wan,Bangkok
,1.0,9.0,18000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,35.0,19000,,Makkasan,Ratchathewi,Bangkok
1,1.0,52.0,36000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,58.0,68000,,Lumphini,Pathum Wan,Bangkok
1,1.0,29.0,11000,,Bang Phongphang,Yan Nawa,Bangkok
,1.0,28.0,16000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,40.0,40000,,Si Lom,Bang Rak,Bangkok
1,1.0,25.0,20000,,Lumphini,Pathum Wan,Bangkok
1,1.0,58.0,25000,,Makkasan,Ratchathewi,Bangkok
1,1.0,31.0,25000,,Suriyawong,Bang Rak,Bangkok
1,1.0,45.0,34000,,Si Phraya,Bang Rak,Bangkok
1,1.0,41.0,25000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,34.0,28000,,Suriyawong,Bang Rak,Bangkok
,1.0,24.5,10000,,Bang Na,Bang Na,Bangkok
1,1.0,9.0,12000,,Huai Khwang,Huai Khwang,Bangkok
,1.0,24.0,9500,,Phra Khanong,Khlong Toei,Bangkok
,1.0,26.0,8000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,33.0,28000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,45.0,21000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,32.0,17500,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,35.0,21000,,Din Daeng,Din Daeng,Bangkok
1,1.0,28.0,9000,,Suan Luang,Suan Luang,Bangkok
2,1.0,56.0,28000,,Chong Nonsi,Yan Nawa,Bangkok
2,1.0,60.0,10000,,Bang Na,Bang Na,Bangkok
1,1.0,32.0,28000,,Suriyawong,Bang Rak,Bangkok
1,1.0,34.0,16000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,45.0,35000,,Si Phraya,Bang Rak,Bangkok
2,1.0,47.0,28000,,Bang Na,Bang Na,Bangkok
1,2.0,52.0,24000,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,50.52,30000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,34.09,15000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,29.0,8500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,28.0,10000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,31.0,15000,,Bang Na,Bang Na,Bangkok
1,1.0,41.0,18000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,29.08,16000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,32.8,9500,,Bang Na,Bang Na,Bangkok
2,1.0,42.76,25000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,9.0,16500,,Huai Khwang,Huai Khwang,Bangkok
2,1.0,52.0,36000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,22.0,8000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,51.0,30000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,35.15,13500,,Suan Luang,Suan Luang,Bangkok
1,1.0,31.0,19000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,41.0,9500,,Bang Na,Bang Na,Bangkok
2,1.0,45.0,16000,,Bang Na,Bang Na,Bangkok
1,1.0,26.75,13000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,38.37,15000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,35.0,19000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,41.0,15000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,26.0,11000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,55.0,35000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,56.0,27000,,Chong Nonsi,Yan Nawa,Bangkok
1,1.0,28.0,18000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,33.0,29000,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,41.0,26000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,39.67,15000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,28.0,11000,,Nong Bon,Prawet,Bangkok
1,1.0,27.0,16000,,Makkasan,Ratchathewi,Bangkok
1,1.0,32.0,34000,,Si Phraya,Bang Rak,Bangkok
2,1.0,88.28,40000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,68.5,32000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,51.0,40000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,78.0,30000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,35.0,18000,,Din Daeng,Din Daeng,Bangkok
1,1.0,95.0,35000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,33.0,16000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,45.0,28000,,Makkasan,Ratchathewi,Bangkok
1,1.0,28.0,21000,,Lumphini,Pathum Wan,Bangkok
1,1.0,44.0,12000,,Bang Kho Laem,Bang Kho Laem,Bangkok
1,2.0,60.0,15000,,Chong Nonsi,Yan Nawa,Bangkok
,1.0,31.0,25000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,46.5,20000,,Bang Na,Bang Na,Bangkok
1,1.0,39.0,27000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,40.3,35000,,Rong Mueang,Pathum Wan,Bangkok
1,1.0,32.0,21500,,Makkasan,Ratchathewi,Bangkok
,1.0,44.0,19000,,Khlong Tan,Khlong Toei,Bangkok
,1.0,23.35,16000,,Huai Khwang,Huai Khwang,Bangkok
2,1.0,51.5,40000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,26.3,11000,,Bang Na,Bang Na,Bangkok
1,1.0,45.0,35000,,Thanon Phaya Thai,Ratchathewi,Bangkok
,1.0,28.69,12500,,Bang Na,Bang Na,Bangkok
1,1.0,26.2,7500,,Suan Luang,Suan Luang,Bangkok
1,1.0,31.0,20000,,Bang Kapi,Huai Khwang,Bangkok
,1.0,25.0,10000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,50.0,50000,,Rong Mueang,Pathum Wan,Bangkok
2,1.0,74.22,18000,,Phra Khanong,Khlong Toei,Bangkok
,1.0,28.0,9000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,35.0,25000,,Makkasan,Ratchathewi,Bangkok
1,1.0,26.0,20000,,Makkasan,Ratchathewi,Bangkok
1,1.0,44.0,20000,,Bang Na,Bang Na,Bangkok
1,1.0,35.5,23000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,40.0,18000,,Si Lom,Bang Rak,Bangkok
1,1.0,44.79,34000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,30.0,11000,,Suan Luang,Suan Luang,Bangkok
1,1.0,61.0,18000,,Bang Na,Bang Na,Bangkok
1,2.0,75.0,55000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,34.0,12000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,30.56,13000,,Bang Na,Bang Na,Bangkok
1,1.0,54.0,32000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,32.0,14500,,Bang Kapi,Huai Khwang,Bangkok
2,1.0,45.0,36000,,Lumphini,Pathum Wan,Bangkok
1,1.0,31.0,16000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,26.71,18000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,27.0,14000,,Suan Luang,Suan Luang,Bangkok
1,2.0,47.25,30000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,51.0,55000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,35.0,19000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,34.0,19000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,35.58,38000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,42.0,28000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,42.0,20000,,Lumphini,Pathum Wan,Bangkok
1,1.0,28.0,9500,,Bang Chak,Phra Khanong,Bangkok
,1.0,26.0,12000,,Din Daeng,Din Daeng,Bangkok
1,1.0,30.76,12000,,Din Daeng,Din Daeng,Bangkok
,1.0,28.04,18000,,Makkasan,Ratchathewi,Bangkok
1,1.0,27.0,13000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,30.0,15000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,30.0,14000,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,48.0,43000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,33.0,24000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,24.0,9000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,57.0,33000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,50.0,38000,,Khlong Tan,Khlong Toei,Bangkok
,1.0,40.0,28000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,49.0,15000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,42.0,62000,,Phra Khanong Nuea,Vadhana,Bangkok
,1.0,27.0,17000,,Makkasan,Ratchathewi,Bangkok
1,1.0,38.0,25000,,Makkasan,Ratchathewi,Bangkok
,1.0,30.0,9000,,Suan Luang,Suan Luang,Bangkok
1,1.0,60.0,60000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,42.0,19000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,61.0,85000,,Khlong Ton Sai,Khlong San,Bangkok
1,1.0,48.0,29000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,45.0,22000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,29.19,11500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,47.0,30000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,50.0,28000,,Thung Wat Don,Sathon,Bangkok
1,1.0,35.49,27000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,33.5,22000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,31.6,14000,,Bang Na,Bang Na,Bangkok
,1.0,35.0,15000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,39.0,15000,,Bang Na,Bang Na,Bangkok
2,1.0,94.0,32000,,Yan Nawa,Sathon,Bangkok
1,1.0,48.0,68000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,55.0,25000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,48.0,29000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,41.0,14000,,Bang Kapi,Huai Khwang,Bangkok
1,2.0,139.0,110000,,Thung Mahamek,Sathon,Bangkok
,1.0,32.0,8000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,32.0,21000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,9.0,15000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,35.0,15000,,Thung Mahamek,Sathon,Bangkok
1,1.0,31.25,15500,,Makkasan,Ratchathewi,Bangkok
1,1.0,46.8,24000,,Si Lom,Bang Rak,Bangkok
2,1.0,52.0,20000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,25.7,12000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,36.0,23000,,Khlong Tan Nuea,Vadhana,Bangkok
,1.0,24.0,10000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,40.0,45000,,Lumphini,Pathum Wan,Bangkok
1,1.0,45.25,30000,,Khlong Tan,Khlong Toei,Bangkok
,1.0,34.0,14000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,45.5,25000,,Thung Wat Don,Sathon,Bangkok
1,1.0,31.0,28000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,48.0,25000,,Si Lom,Bang Rak,Bangkok
1,1.0,27.0,9000,,Sam Sen Nok,Huai Khwang,Bangkok
1,1.0,40.0,15500,,Khlong Toei,Khlong Toei,Bangkok
,1.0,22.0,8500,,Bang Na,Bang Na,Bangkok
1,1.0,35.4,28000,,Lumphini,Pathum Wan,Bangkok
2,1.0,54.0,25000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,38.0,30000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,35.0,21000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,53.6,40000,,Khlong Tan,Khlong Toei,Bangkok
,1.0,35.0,9500,,Bang Na,Bang Na,Bangkok
,1.0,34.0,9500,,Bang Na,Bang Na,Bangkok
1,1.0,28.0,11000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,83.0,90000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,23.5,11000,,Suan Luang,Suan Luang,Bangkok
1,1.0,53.0,32000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,87.0,150000,,Lumphini,Pathum Wan,Bangkok
2,1.0,81.45,35000,,Khlong Tan,Khlong Toei,Bangkok
